state, value
Alabama,299.7862057433 
Alaska,430.350297780184 
Arizona,310.733540462806 
Arkansas,291.830860270653 
California,343.381918944543 
Colorado,323.060953062202 
Connecticut,264.211784748448 
Delaware,275.770967037765 
District of Columbia,249.877999776761 
Florida,271.000571986031 
Georgia,317.313362530078 
Idaho,314.322164224348 
Illinois,296.981971487966 
Indiana,309.387782735991 
Iowa,279.040299401198 
Kansas,272.682388576374 
Kentucky,278.802437227362 
Louisiana,305.157968015495 
Maine,259.847317453761 
Maryland,278.776725500952 
Massachusetts,238.734324757811 
Michigan,271.063128821028 
Minnesota,251.244300331315 
Mississippi,284.699705247256 
Missouri,279.497748554986 
Montana,289.36343205209 
Nebraska,281.19712842648 
Nevada,265.412393506549 
New Hampshire,255.078651929383 
New Jersey,288.203190345958 
New Mexico,302.761333466556 
New York,285.652346488634 
North Carolina,286.237384295884 
North Dakota,291.82334014687 
Ohio,302.676387325863 
Oklahoma,294.604676749265 
Oregon,237.385148269392 
Pennsylvania,263.020191150982 
Rhode Island,284.243048120163 
South Carolina,293.670237756057 
South Dakota,316.964000316481 
Tennessee,285.635457266874 
Texas,332.8933866142 
Utah,335.27812934272 
Vermont,240.632911084636 
Virginia,278.963590055698 
Washington,244.115927717532 
West Virginia,260.480667885208 
Wisconsin,256.413860306123 
Wyoming,297.804116766467 
